System,TIC1,TIC2
WT,0.863865,0.635719
WT,0.974988,0.191705
WT,0.685166,0.307359
WT,0.896058,0.155842
WT,0.831184,0.553668
WT,0.729953,0.256139
WT,0.829087,0.100888
WT,0.981120,-0.201466
WT,0.895472,-0.063574
WT,1.076045,-0.101018
WT,1.084998,-0.286351
WT,1.140769,-0.149545
WT,1.009265,0.229934
WT,0.886301,-0.061737
WT,0.760467,0.212121
WT,0.794324,0.009296
WT,0.914801,0.063495
WT,0.750683,0.117285
WT,0.813624,0.099579
WT,0.948946,0.334599
WT,0.998985,0.374038
WT,0.927544,-0.039127
WT,0.868654,0.010220
WT,0.818208,-0.386909
WT,0.830213,-0.435243
WT,0.563216,-0.492239
WT,0.513238,-0.520977
WT,0.567031,-0.635365
WT,0.740298,-0.543133
WT,0.562807,-0.448380
WT,1.012608,-0.496250
WT,0.819973,-0.442080
WT,0.706229,-0.158774
WT,0.885443,-0.288607
WT,0.677405,-0.423653
WT,0.752209,-0.124999
WT,0.705515,-0.994583
WT,0.865887,-0.731846
WT,0.796786,-0.619215
WT,0.980934,-0.443283
WT,0.619682,-0.798989
WT,0.662813,-0.581073
WT,0.554339,-0.553538
WT,0.441658,-0.959429
WT,0.261105,-0.888620
WT,0.251724,-0.787840
WT,0.352839,-0.823875
WT,0.252057,-0.822030
WT,0.112360,-0.737652
WT,0.516886,-1.166965
WT,0.697299,-1.094622
